#L(erg/s) phi err_u err_l
42.0 -2.67 0.18 0.20
42.2 -2.63 0.14 0.16
42.4 -2.83 0.10 0.12
42.6 -3.16 0.13 0.17
42.8 -3.34 0.13 0.19
43.0 -3.34 0.13 0.19
43.2 -3.66 0.18 0.30
43.4 -3.90 0.23 0.53
