#L(erg/s) phi err_u err_l
42.95 -3.48 0.038 0.193
43.05 -3.735 0.044 0.199
43.15 -3.953 0.043 0.198
43.25 -4.163 0.055 0.210 
43.35 -4.427 0.076 0.231
43.45 -4.970 0.147 0.308
43.55 -5.170 0.187 0.355
43.65 -5.318 0.224 0.401
43.75 -5.717 0.365 0.606 
